Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
West Gear,1185732,2021-11-06,Midwest,Iowa,Des Moines,Women's Street Footwear,$32.00 ,57,182,$80 ,Online
Sports Direct,1185732,2021-07-08,Midwest,North Dakota,Fargo,Men's Apparel,$50.00 ,200,"10,000","$3,500 ",In-store
Foot Locker,1128299,2021-05-25,Southeast,Virginia,Richmond,Men's Apparel,$34.00 ,54,184,$79 ,Outlet
West Gear,1185732,2021-11-11,Northeast,Vermont,Burlington,Men's Athletic Footwear,$47.00 ,98,461,$226 ,Outlet
West Gear,1185732,2021-04-10,Midwest,Indiana,Indianapolis,Men's Athletic Footwear,$23.00 ,54,124,$65 ,Online
Sports Direct,1185732,2021-08-21,Northeast,Maryland,Baltimore,Men's Street Footwear,$48.00 ,135,648,$343 ,Online
Sports Direct,1197831,2021-08-30,South,Alabama,Birmingham,Women's Apparel,$36.00 ,263,947,$625 ,Outlet
Sports Direct,1128299,2021-12-12,Southeast,Georgia,Atlanta,Men's Street Footwear,$55.00 ,675,"37,125","$14,850 ",Online
Sports Direct,1128299,2021-11-13,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$60.00 ,575,"34,500","$13,800 ",Online
Amazon,1185732,2021-12-10,Northeast,Vermont,Burlington,Men's Apparel,$67.00 ,81,543,$260 ,Online
Sports Direct,1185732,2021-04-16,Midwest,Michigan,Detroit,Men's Athletic Footwear,$38.00 ,111,422,$224 ,Online
Kohl's,1189833,2021-05-14,West,California,Los Angeles,Men's Athletic Footwear,$51.00 ,232,"1,183",$426 ,Online
Foot Locker,1185732,2021-09-19,Midwest,Missouri,St. Louis,Women's Athletic Footwear,$14.00 ,83,116,$62 ,Online
Foot Locker,1185732,2021-01-12,Midwest,Kansas,Wichita,Men's Apparel,$48.00 ,44,211,$99 ,Online
West Gear,1185732,2021-04-10,Midwest,Indiana,Indianapolis,Men's Street Footwear,$23.00 ,125,288,$158 ,Online
Kohl's,1185732,2021-12-10,West,Wyoming,Cheyenne,Men's Athletic Footwear,$44.00 ,168,739,$303 ,Online
Sports Direct,1185732,2021-12-11,Midwest,South Dakota,Sioux Falls,Men's Athletic Footwear,$50.00 ,300,"15,000","$4,500 ",Online
West Gear,1185732,2021-10-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,$43.00 ,113,486,$204 ,Online
Walmart,1197831,2021-05-19,South,Arkansas,Little Rock,Men's Apparel,$42.00 ,85,357,$168 ,Online
Amazon,1185732,2021-04-22,Southeast,Kentucky,Louisville,Women's Athletic Footwear,$45.00 ,100,"4,500","$1,800 ",Online
Sports Direct,1128299,2021-01-13,West,New Mexico,Albuquerque,Women's Street Footwear,$32.00 ,140,448,$188 ,Outlet
Kohl's,1185732,2021-03-10,West,Wyoming,Cheyenne,Women's Athletic Footwear,$33.00 ,112,370,$174 ,Online
Foot Locker,1128299,2021-07-23,Southeast,Virginia,Richmond,Men's Athletic Footwear,$81.00 ,203,"1,644",$822 ,Online
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Women's Athletic Footwear,$20.00 ,275,"5,500","$2,200 ",Online
West Gear,1128299,2021-02-17,West,Oregon,Portland,Men's Athletic Footwear,$45.00 ,400,"18,000","$7,200 ",In-store
Foot Locker,1185732,2021-05-19,Midwest,Missouri,St. Louis,Women's Apparel,$45.00 ,105,473,$284 ,Online
Kohl's,1128299,2021-09-27,West,New Mexico,Albuquerque,Men's Apparel,$60.00 ,425,"25,500","$7,650 ",Online
Kohl's,1185732,2021-08-11,West,Wyoming,Cheyenne,Women's Athletic Footwear,$40.00 ,525,"21,000","$7,350 ",In-store
Kohl's,1185732,2021-09-10,West,Wyoming,Cheyenne,Women's Apparel,$55.00 ,600,"33,000","$8,250 ",In-store
Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Women's Street Footwear,$35.00 ,132,462,$185 ,Outlet
Sports Direct,1185732,2021-12-06,Northeast,Rhode Island,Providence,Men's Athletic Footwear,$50.00 ,300,"15,000","$5,250 ",In-store
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Men's Street Footwear,$56.00 ,217,"1,215",$668 ,Online
Sports Direct,1128299,2021-08-13,Southeast,Georgia,Atlanta,Women's Apparel,$68.00 ,119,809,$283 ,Online
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Men's Apparel,$73.00 ,221,"1,613",$791 ,Outlet
Foot Locker,1185732,2021-06-08,Northeast,Rhode Island,Providence,Men's Athletic Footwear,$45.00 ,300,"13,500","$4,725 ",In-store
Sports Direct,1185732,2021-07-20,Northeast,Maryland,Baltimore,Men's Apparel,$46.00 ,51,235,$106 ,Online
West Gear,1197831,2021-06-04,West,Idaho,Boise,Women's Athletic Footwear,$48.00 ,143,686,$405 ,Online
Sports Direct,1185732,2021-09-10,Midwest,North Dakota,Fargo,Men's Athletic Footwear,$34.00 ,72,245,$105 ,Online
Amazon,1185732,2021-10-12,Northeast,Vermont,Burlington,Women's Athletic Footwear,$46.00 ,61,281,$104 ,Outlet
West Gear,1185732,2021-12-10,West,Utah,Salt Lake City,Men's Apparel,$40.00 ,400,"16,000","$5,600 ",In-store
West Gear,1185732,2021-10-10,Northeast,New York,Albany,Women's Athletic Footwear,$50.00 ,500,"25,000","$7,500 ",In-store
Kohl's,1197831,2021-11-20,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,$55.00 ,300,"16,500","$6,600 ",Online
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Street Footwear,$50.00 ,650,"32,500","$13,000 ",Online
Amazon,1185732,2021-12-27,Northeast,Maine,Portland,Men's Street Footwear,$53.00 ,122,647,$310 ,Online
Kohl's,1189833,2021-01-03,Midwest,Montana,Billings,Men's Street Footwear,$35.00 ,525,"18,375","$8,269 ",Outlet
Foot Locker,1185732,2021-02-07,Southeast,South Carolina,Charleston,Women's Athletic Footwear,$33.00 ,169,558,$251 ,Online
Sports Direct,1197831,2021-10-04,South,Alabama,Birmingham,Men's Apparel,$48.00 ,111,533,$314 ,Online
Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,$31.00 ,68,211,$72 ,Outlet
Foot Locker,1185732,2021-08-07,Northeast,Rhode Island,Providence,Men's Apparel,$45.00 ,31,140,$56 ,Online
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,$41.00 ,341,"1,398",$601 ,Outlet
West Gear,1185732,2021-10-10,Northeast,New York,Albany,Men's Athletic Footwear,$46.00 ,156,718,$330 ,Online
Foot Locker,1185732,2021-10-22,Northeast,Maryland,Baltimore,Women's Athletic Footwear,$50.00 ,75,"3,750","$1,313 ",In-store
Foot Locker,1185732,2021-12-19,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$56.00 ,27,151,$65 ,Online
Foot Locker,1185732,2021-06-16,Midwest,Nebraska,Omaha,Women's Street Footwear,$35.00 ,100,"3,500","$1,225 ",Outlet
Sports Direct,1197831,2021-05-03,South,Tennessee,Knoxville,Men's Street Footwear,$35.00 ,575,"20,125","$9,056 ",Outlet
Sports Direct,1197831,2021-10-05,South,Alabama,Birmingham,Women's Apparel,$56.00 ,188,"1,053",$832 ,Online
Foot Locker,1185732,2021-07-11,Midwest,South Dakota,Sioux Falls,Women's Street Footwear,$40.00 ,225,"9,000","$2,700 ",Online
West Gear,1128299,2021-05-18,South,Louisiana,New Orleans,Women's Street Footwear,$37.00 ,136,503,$211 ,Outlet
Kohl's,1128299,2021-12-25,West,New Mexico,Albuquerque,Men's Athletic Footwear,$47.00 ,217,"1,020",$479 ,Outlet
West Gear,1185732,2021-04-03,Midwest,Wisconsin,Milwaukee,Men's Apparel,$60.00 ,100,"6,000","$3,000 ",In-store
Amazon,1185732,2021-03-17,Northeast,New Hampshire,Manchester,Men's Street Footwear,$49.00 ,165,809,$404 ,Online
Amazon,1185732,2021-10-25,Northeast,Maine,Portland,Men's Athletic Footwear,$40.00 ,175,"7,000","$2,450 ",Outlet
Sports Direct,1185732,2021-11-17,South,Mississippi,Jackson,Women's Apparel,$51.00 ,168,857,$488 ,Outlet
Foot Locker,1197831,2021-03-06,West,Idaho,Boise,Women's Athletic Footwear,$35.00 ,350,"12,250","$5,513 ",Online
Walmart,1197831,2021-07-19,South,Arkansas,Little Rock,Women's Apparel,$50.00 ,198,990,$455 ,Outlet
Kohl's,1185732,2021-09-10,West,Wyoming,Cheyenne,Men's Athletic Footwear,$45.00 ,600,"27,000","$8,100 ",In-store
Foot Locker,1185732,2021-06-28,Midwest,Nebraska,Omaha,Women's Street Footwear,$34.00 ,63,214,$96 ,Online
Kohl's,1185732,2021-06-08,Northeast,New Jersey,Newark,Men's Apparel,$46.00 ,65,299,$135 ,Online
Sports Direct,1185732,2021-09-10,Midwest,North Dakota,Fargo,Men's Athletic Footwear,$35.00 ,275,"9,625","$2,888 ",In-store
Kohl's,1185732,2021-10-08,Northeast,New Jersey,Newark,Men's Street Footwear,$55.00 ,425,"23,375","$8,181 ",In-store
Foot Locker,1185732,2021-11-04,Northeast,Connecticut,Hartford,Women's Street Footwear,$51.00 ,80,408,$184 ,Online
West Gear,1128299,2021-02-01,West,California,San Francisco,Women's Street Footwear,$50.00 ,182,910,$382 ,Online
Foot Locker,1128299,2021-03-09,West,Hawaii,Honolulu,Men's Street Footwear,$44.00 ,135,594,$238 ,Online
Kohl's,1197831,2021-03-12,Midwest,Kansas,Wichita,Men's Street Footwear,$20.00 ,153,306,$150 ,Online
Sports Direct,1197831,2021-03-15,South,Tennessee,Knoxville,Women's Apparel,$24.00 ,170,408,$216 ,Outlet
Sports Direct,1185732,2021-11-07,Northeast,New Jersey,Newark,Women's Athletic Footwear,$49.00 ,65,319,$175 ,Online
Sports Direct,1197831,2021-04-07,South,Tennessee,Knoxville,Men's Apparel,$41.00 ,106,435,$213 ,Online
Kohl's,1189833,2021-01-25,Midwest,Montana,Billings,Men's Apparel,$45.00 ,225,"10,125","$6,075 ",Outlet
Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Men's Athletic Footwear,$25.00 ,131,328,$147 ,Online
Foot Locker,1185732,2021-10-22,Northeast,Maryland,Baltimore,Women's Apparel,$60.00 ,52,312,$125 ,Online
Sports Direct,1197831,2021-09-09,South,Alabama,Birmingham,Women's Athletic Footwear,$45.00 ,575,"25,875","$15,525 ",Outlet
Amazon,1185732,2021-07-10,Northeast,Vermont,Burlington,Women's Street Footwear,$50.00 ,350,"17,500","$6,125 ",In-store
Kohl's,1128299,2021-12-22,West,Arizona,Phoenix,Men's Apparel,$55.00 ,350,"19,250","$5,775 ",Online
Foot Locker,1197831,2021-02-04,South,Louisiana,New Orleans,Women's Street Footwear,$28.00 ,128,358,$125 ,Outlet
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Athletic Footwear,$26.00 ,166,432,$181 ,Outlet
Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Street Footwear,$55.00 ,575,"31,625","$11,069 ",Outlet
Foot Locker,1185732,2021-10-24,South,Texas,Dallas,Women's Street Footwear,$33.00 ,56,185,$94 ,Online
Sports Direct,1197831,2021-09-01,South,Texas,Dallas,Women's Athletic Footwear,$30.00 ,425,"12,750","$5,738 ",Outlet
West Gear,1185732,2021-11-10,Midwest,Indiana,Indianapolis,Women's Street Footwear,$35.00 ,270,"9,450","$3,308 ",In-store
Kohl's,1128299,2021-08-26,West,New Mexico,Albuquerque,Women's Street Footwear,$46.00 ,163,750,$300 ,Outlet
West Gear,1128299,2021-01-10,Northeast,Maine,Portland,Men's Athletic Footwear,$41.00 ,109,447,$147 ,Online
Foot Locker,1185732,2021-11-10,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,$37.00 ,51,189,$60 ,Outlet
Foot Locker,1185732,2021-12-17,Northeast,New Hampshire,Manchester,Women's Street Footwear,$47.00 ,128,602,$217 ,Outlet
Sports Direct,1185732,2021-09-20,Northeast,Maryland,Baltimore,Women's Street Footwear,$38.00 ,36,137,$68 ,Online
Kohl's,1189833,2021-05-17,West,California,Los Angeles,Men's Apparel,$60.00 ,600,"36,000","$19,800 ",Outlet
Foot Locker,1185732,2021-01-24,Northeast,West Virginia,Charleston,Men's Athletic Footwear,$35.00 ,225,"7,875","$2,756 ",In-store
West Gear,1185732,2021-07-16,Northeast,West Virginia,Charleston,Women's Street Footwear,$50.00 ,325,"16,250","$6,500 ",In-store
West Gear,1185732,2021-07-02,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,$50.00 ,550,"27,500","$8,250 ",In-store
West Gear,1197831,2021-03-06,West,Idaho,Boise,Women's Apparel,$35.00 ,400,"14,000","$7,000 ",Online
Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Men's Apparel,$45.00 ,375,"16,875","$5,906 ",Online
Kohl's,1189833,2021-01-14,Midwest,Montana,Billings,Women's Apparel,$42.00 ,112,470,$183 ,Online
West Gear,1185732,2021-02-10,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$34.00 ,52,177,$90 ,Online
West Gear,1128299,2021-06-24,West,Oregon,Portland,Men's Athletic Footwear,$47.00 ,202,949,$389 ,Outlet
Foot Locker,1128299,2021-08-24,Southeast,Virginia,Richmond,Men's Athletic Footwear,$76.00 ,202,"1,535",$737 ,Online
Foot Locker,1128299,2021-10-23,West,Arizona,Phoenix,Women's Apparel,$60.00 ,325,"19,500","$4,875 ",Online
Foot Locker,1185732,2021-07-20,Midwest,Nebraska,Omaha,Men's Street Footwear,$37.00 ,84,311,$168 ,Online
West Gear,1185732,2021-06-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$27.00 ,90,243,$119 ,Online
West Gear,1197831,2021-03-19,South,Oklahoma,Oklahoma City,Women's Street Footwear,$10.00 ,275,"2,750","$1,100 ",Online
Kohl's,1128299,2021-10-26,West,New Mexico,Albuquerque,Men's Apparel,$56.00 ,91,510,$224 ,Online
Sports Direct,1128299,2021-01-13,West,New Mexico,Albuquerque,Women's Apparel,$28.00 ,140,392,$125 ,Outlet
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Women's Athletic Footwear,$33.00 ,133,439,$233 ,Online
Foot Locker,1185732,2021-03-05,Midwest,Iowa,Des Moines,Women's Street Footwear,$9.00 ,65,59,$23 ,Online
Sports Direct,1185732,2021-01-06,Southeast,South Carolina,Charleston,Women's Athletic Footwear,$29.00 ,173,502,$276 ,Online
Kohl's,1189833,2021-03-22,West,California,Los Angeles,Women's Athletic Footwear,$41.00 ,154,631,$284 ,Online
Sports Direct,1197831,2021-09-08,South,Alabama,Birmingham,Women's Street Footwear,$41.00 ,254,"1,041",$656 ,Online
West Gear,1185732,2021-09-18,Northeast,West Virginia,Charleston,Men's Street Footwear,$35.00 ,550,"19,250","$7,700 ",In-store
Foot Locker,1185732,2021-12-19,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$60.00 ,100,"6,000","$1,800 ",Outlet
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Men's Athletic Footwear,$55.00 ,525,"28,875","$10,106 ",Online
Sports Direct,1185732,2021-02-17,Southeast,Virginia,Richmond,Men's Street Footwear,$26.00 ,256,666,$366 ,Outlet
West Gear,1128299,2021-01-16,West,California,San Francisco,Men's Apparel,$64.00 ,233,"1,491",$954 ,Online
West Gear,1185732,2021-07-10,West,Utah,Salt Lake City,Men's Apparel,$32.00 ,128,410,$188 ,Online
Foot Locker,1185732,2021-07-07,Midwest,Nebraska,Omaha,Women's Apparel,$44.00 ,69,304,$182 ,Online
Sports Direct,1185732,2021-07-15,Midwest,Michigan,Detroit,Men's Apparel,$54.00 ,143,772,$394 ,Online
West Gear,1185732,2021-08-09,Northeast,New York,Albany,Men's Athletic Footwear,$60.00 ,700,"42,000","$14,700 ",In-store
Amazon,1185732,2021-12-02,Southeast,North Carolina,Charlotte,Women's Apparel,$75.00 ,775,"58,125","$29,063 ",Online
Walmart,1185732,2021-08-17,South,Mississippi,Jackson,Men's Street Footwear,$56.00 ,215,"1,204",$650 ,Online
Walmart,1128299,2021-04-17,Southeast,Florida,Orlando,Men's Athletic Footwear,$51.00 ,105,536,$145 ,Outlet
Walmart,1128299,2021-06-17,Southeast,Florida,Orlando,Men's Apparel,$71.00 ,153,"1,086",$239 ,Outlet
West Gear,1128299,2021-08-24,West,Oregon,Portland,Men's Athletic Footwear,$80.00 ,775,"62,000","$21,700 ",In-store
West Gear,1197831,2021-04-05,West,Idaho,Boise,Men's Apparel,$34.00 ,72,245,$105 ,Online
Amazon,1185732,2021-09-17,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,$43.00 ,116,499,$209 ,Outlet
Foot Locker,1128299,2021-03-09,West,Hawaii,Honolulu,Men's Athletic Footwear,$55.00 ,350,"19,250","$3,850 ",Outlet
Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Men's Street Footwear,$34.00 ,186,632,$323 ,Online
Sports Direct,1128299,2021-05-14,Southeast,Georgia,Atlanta,Men's Street Footwear,$50.00 ,550,"27,500","$11,000 ",Online
Amazon,1185732,2021-09-10,Northeast,Vermont,Burlington,Women's Street Footwear,$46.00 ,56,258,$129 ,Online
Sports Direct,1128299,2021-01-17,West,Hawaii,Honolulu,Men's Apparel,$54.00 ,68,367,$110 ,Online
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Women's Athletic Footwear,$39.00 ,104,406,$203 ,Online
Foot Locker,1185732,2021-05-23,South,Tennessee,Knoxville,Women's Street Footwear,$25.00 ,225,"5,625","$1,969 ",Outlet
Sports Direct,1197831,2021-09-25,South,Alabama,Birmingham,Men's Athletic Footwear,$29.00 ,158,458,$289 ,Online
Sports Direct,1185732,2021-08-09,Midwest,North Dakota,Fargo,Men's Apparel,$46.00 ,44,202,$93 ,Online
West Gear,1197831,2021-08-20,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,$40.00 ,325,"13,000","$5,200 ",Online
West Gear,1185732,2021-09-18,Northeast,West Virginia,Charleston,Men's Apparel,$35.00 ,225,"7,875","$3,150 ",In-store
Foot Locker,1197831,2021-02-04,South,Louisiana,New Orleans,Men's Athletic Footwear,$32.00 ,174,557,$234 ,Online
West Gear,1197831,2021-04-20,South,Oklahoma,Oklahoma City,Men's Street Footwear,$24.00 ,152,365,$193 ,Online
Amazon,1185732,2021-12-23,Northeast,Maine,Portland,Women's Street Footwear,$41.00 ,68,279,$139 ,Online
Walmart,1128299,2021-05-18,Southeast,Florida,Orlando,Men's Street Footwear,$60.00 ,575,"34,500","$10,350 ",Outlet
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Men's Apparel,$62.00 ,154,955,$430 ,Online
Sports Direct,1197831,2021-08-30,South,Texas,Dallas,Men's Athletic Footwear,$21.00 ,210,441,$176 ,Outlet
West Gear,1128299,2021-01-22,West,California,San Francisco,Men's Apparel,$75.00 ,750,"56,250","$28,125 ",Outlet
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Athletic Footwear,$12.00 ,104,125,$52 ,Outlet
Amazon,1185732,2021-07-21,Southeast,Kentucky,Louisville,Men's Athletic Footwear,$45.00 ,350,"15,750","$5,513 ",Online
Foot Locker,1128299,2021-05-25,Southeast,Virginia,Richmond,Women's Apparel,$44.00 ,168,739,$259 ,Outlet
Sports Direct,1185732,2021-02-17,Southeast,Virginia,Richmond,Men's Athletic Footwear,$35.00 ,450,"15,750","$6,300 ",In-store
Foot Locker,1128299,2021-03-23,Southeast,Virginia,Richmond,Men's Athletic Footwear,$50.00 ,325,"16,250","$5,688 ",In-store
Sports Direct,1185732,2021-09-15,Midwest,Michigan,Detroit,Men's Street Footwear,$45.00 ,800,"36,000","$18,000 ",In-store
Sports Direct,1197831,2021-04-19,South,Tennessee,Knoxville,Men's Apparel,$45.00 ,550,"24,750","$9,900 ",Outlet
Foot Locker,1185732,2021-12-13,Northeast,Pennsylvania,Philadelphia,Men's Apparel,$50.00 ,36,180,$81 ,Online
Kohl's,1189833,2021-03-14,West,California,Los Angeles,Men's Athletic Footwear,$30.00 ,215,645,$200 ,Outlet
West Gear,1185732,2021-10-17,Northeast,West Virginia,Charleston,Women's Athletic Footwear,$32.00 ,47,150,$80 ,Online
West Gear,1185732,2021-08-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,$43.00 ,84,361,$170 ,Online
Foot Locker,1185732,2021-09-13,Northeast,Delaware,Wilmington,Women's Apparel,$58.00 ,84,487,$263 ,Online
Sports Direct,1128299,2021-12-23,Southeast,Virginia,Richmond,Women's Apparel,$65.00 ,190,"1,235",$432 ,Outlet
Kohl's,1189833,2021-03-20,West,California,Los Angeles,Men's Athletic Footwear,$41.00 ,195,800,$280 ,Online
Sports Direct,1185732,2021-08-09,Midwest,North Dakota,Fargo,Women's Street Footwear,$37.00 ,63,233,$96 ,Online
Sports Direct,1185732,2021-01-06,Southeast,South Carolina,Charleston,Men's Street Footwear,$33.00 ,231,762,$381 ,Online
Foot Locker,1128299,2021-06-10,West,Hawaii,Honolulu,Women's Street Footwear,$75.00 ,600,"45,000","$11,250 ",Outlet
Foot Locker,1197831,2021-08-08,West,Idaho,Boise,Women's Street Footwear,$50.00 ,925,"46,250","$18,500 ",Online
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Men's Apparel,$26.00 ,136,354,$138 ,Outlet
West Gear,1197831,2021-06-21,South,Oklahoma,Oklahoma City,Women's Street Footwear,$40.00 ,325,"13,000","$5,200 ",Online
Sports Direct,1197831,2021-09-02,South,Texas,Dallas,Men's Apparel,$26.00 ,107,278,$100 ,Outlet
Foot Locker,1185732,2021-05-24,South,Tennessee,Knoxville,Women's Athletic Footwear,$30.00 ,75,"2,250",$900 ,Outlet
Sports Direct,1128299,2021-06-13,Southeast,Georgia,Atlanta,Men's Athletic Footwear,$54.00 ,147,794,$405 ,Online
Foot Locker,1185732,2021-11-26,Northeast,Pennsylvania,Philadelphia,Women's Apparel,$70.00 ,300,"21,000","$6,300 ",Outlet
West Gear,1128299,2021-01-24,West,Utah,Salt Lake City,Women's Athletic Footwear,$40.00 ,200,"8,000","$2,800 ",In-store
Foot Locker,1185732,2021-11-04,Northeast,Pennsylvania,Philadelphia,Men's Athletic Footwear,$50.00 ,150,"7,500","$2,625 ",Outlet
Amazon,1185732,2021-07-21,Southeast,Kentucky,Louisville,Men's Street Footwear,$50.00 ,600,"30,000","$12,000 ",Online
Sports Direct,1197831,2021-09-14,South,Alabama,Birmingham,Women's Street Footwear,$36.00 ,278,"1,001",$530 ,Outlet
Kohl's,1185732,2021-02-12,West,Wyoming,Cheyenne,Women's Athletic Footwear,$32.00 ,123,394,$189 ,Online
Amazon,1185732,2021-11-14,Northeast,Massachusetts,Boston,Women's Street Footwear,$50.00 ,83,415,$149 ,Online
Foot Locker,1185732,2021-06-12,Midwest,Illinois,Chicago,Men's Street Footwear,$50.00 ,495,"24,750","$9,900 ",Outlet
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Athletic Footwear,$14.00 ,88,123,$64 ,Online
Amazon,1185732,2021-10-12,Northeast,Vermont,Burlington,Women's Athletic Footwear,$55.00 ,46,253,$121 ,Online
Sports Direct,1197831,2021-08-12,South,Alabama,Birmingham,Women's Apparel,$27.00 ,144,389,$222 ,Outlet
Foot Locker,1197831,2021-01-05,South,Louisiana,New Orleans,Men's Apparel,$36.00 ,85,306,$113 ,Online
Sports Direct,1185732,2021-04-09,Midwest,North Dakota,Fargo,Men's Athletic Footwear,$28.00 ,44,123,$53 ,Online
West Gear,1128299,2021-02-15,West,California,San Francisco,Men's Apparel,$65.00 ,700,"45,500","$20,475 ",Outlet
Foot Locker,1185732,2021-12-15,Midwest,Michigan,Detroit,Women's Athletic Footwear,$50.00 ,550,"27,500","$9,625 ",In-store
West Gear,1185732,2021-04-17,Northeast,West Virginia,Charleston,Men's Apparel,$60.00 ,56,336,$185 ,Online
Foot Locker,1185732,2021-02-15,Northeast,Maryland,Baltimore,Men's Street Footwear,$40.00 ,575,"23,000","$8,050 ",In-store
Sports Direct,1197831,2021-09-04,South,Texas,Dallas,Men's Street Footwear,$13.00 ,233,303,$115 ,Outlet
Foot Locker,1185732,2021-04-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,$27.00 ,72,194,$95 ,Online
Foot Locker,1128299,2021-04-10,West,Hawaii,Honolulu,Men's Athletic Footwear,$65.00 ,300,"19,500","$3,900 ",Outlet
West Gear,1128299,2021-06-24,West,Oregon,Portland,Women's Apparel,$105.00 ,700,"73,500","$22,050 ",In-store
Kohl's,1197831,2021-09-12,Midwest,Kansas,Wichita,Men's Athletic Footwear,$38.00 ,91,346,$156 ,Online
Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Women's Street Footwear,$40.00 ,375,"15,000","$5,250 ",Online
Kohl's,1189833,2021-04-10,West,California,Los Angeles,Women's Athletic Footwear,$43.00 ,152,654,$320 ,Online
Foot Locker,1185732,2021-03-06,Northeast,Rhode Island,Providence,Women's Street Footwear,$17.00 ,56,95,$45 ,Outlet
Amazon,1185732,2021-10-12,Northeast,Vermont,Burlington,Men's Athletic Footwear,$60.00 ,300,"18,000","$8,100 ",In-store
Sports Direct,1185732,2021-07-13,Northeast,Massachusetts,Boston,Men's Athletic Footwear,$50.00 ,350,"17,500","$5,250 ",In-store
Sports Direct,1197831,2021-04-20,South,Tennessee,Knoxville,Women's Apparel,$52.00 ,223,"1,160",$812 ,Online
Kohl's,1189833,2021-03-12,West,California,Los Angeles,Women's Apparel,$41.00 ,182,746,$231 ,Online
Foot Locker,1185732,2021-05-30,Midwest,Nebraska,Omaha,Women's Athletic Footwear,$30.00 ,50,"1,500",$600 ,Outlet
Sports Direct,1197831,2021-09-05,West,Idaho,Boise,Women's Athletic Footwear,$55.00 ,116,638,$402 ,Online
Sports Direct,1185732,2021-02-05,Northeast,New Jersey,Newark,Women's Street Footwear,$29.00 ,65,189,$85 ,Online
West Gear,1185732,2021-06-10,Northeast,New York,Albany,Men's Street Footwear,$60.00 ,875,"52,500","$23,625 ",In-store
West Gear,1185732,2021-11-09,Northeast,New York,Albany,Men's Street Footwear,$60.00 ,775,"46,500","$20,925 ",In-store
Kohl's,1128299,2021-08-26,West,New Mexico,Albuquerque,Men's Street Footwear,$40.00 ,224,896,$332 ,Outlet
Amazon,1185732,2021-09-20,West,Alaska,Anchorage,Men's Athletic Footwear,$55.00 ,91,501,$240 ,Online
Amazon,1185732,2021-11-08,Northeast,Maine,Portland,Women's Athletic Footwear,$41.00 ,34,139,$56 ,Online
Amazon,1185732,2021-11-14,Northeast,Massachusetts,Boston,Men's Athletic Footwear,$52.00 ,90,468,$206 ,Online
Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Athletic Footwear,$32.00 ,30,96,$40 ,Online
Foot Locker,1185732,2021-05-28,Midwest,Nebraska,Omaha,Men's Athletic Footwear,$33.00 ,38,125,$63 ,Online
Amazon,1185732,2021-07-10,Northeast,Vermont,Burlington,Men's Athletic Footwear,$42.00 ,145,609,$305 ,Outlet
Kohl's,1189833,2021-05-26,West,California,Los Angeles,Men's Athletic Footwear,$50.00 ,243,"1,215",$462 ,Online
Walmart,1197831,2021-08-20,South,Arkansas,Little Rock,Men's Apparel,$48.00 ,113,542,$266 ,Online
Amazon,1185732,2021-10-20,Northeast,Maine,Portland,Women's Street Footwear,$30.00 ,200,"6,000","$2,400 ",Outlet
Kohl's,1197831,2021-07-12,Midwest,Kansas,Wichita,Women's Athletic Footwear,$45.00 ,300,"13,500","$4,725 ",Online
West Gear,1185732,2021-01-10,Midwest,Wisconsin,Milwaukee,Men's Apparel,$41.00 ,58,238,$105 ,Online
